2026-03-15 22:26:22,743 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 22:26:22,864 | INFO | automation | Input text into ('id', 'password')
2026-03-15 22:26:22,887 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 22:26:23,038 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 22:26:23,175 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 22:26:23,274 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 22:26:23,411 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 22:26:23,497 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 22:26:23,570 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 22:26:23,593 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 22:26:23,690 | INFO | automation | [ASSERT PASS] Checkout validation
