2026-03-13 09:17:40,511 | INFO | automation | Input text into ('id', 'user-name')
2026-03-13 09:17:40,585 | INFO | automation | Input text into ('id', 'password')
2026-03-13 09:17:40,602 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-13 09:17:40,708 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-13 09:17:40,797 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-13 09:17:40,878 | INFO | automation | Click element: ('id', 'checkout')
2026-03-13 09:17:40,988 | INFO | automation | Input text into ('id', 'first-name')
2026-03-13 09:17:41,048 | INFO | automation | Input text into ('id', 'last-name')
2026-03-13 09:17:41,101 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-13 09:17:41,118 | INFO | automation | Click element: ('id', 'continue')
2026-03-13 09:17:41,197 | INFO | automation | [ASSERT PASS] Checkout validation
