2026-03-16 18:56:51,639 | INFO | automation | Input text into ('id', 'user-name')
2026-03-16 18:56:51,726 | INFO | automation | Input text into ('id', 'password')
2026-03-16 18:56:51,746 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-16 18:56:51,872 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-16 18:56:51,971 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-16 18:56:52,090 | INFO | automation | Click element: ('id', 'checkout')
2026-03-16 18:56:52,363 | INFO | automation | Input text into ('id', 'first-name')
2026-03-16 18:56:52,431 | INFO | automation | Input text into ('id', 'last-name')
2026-03-16 18:56:52,499 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-16 18:56:52,518 | INFO | automation | Click element: ('id', 'continue')
2026-03-16 18:57:03,298 | INFO | automation | Click element: ('id', 'finish')
2026-03-16 18:57:03,381 | INFO | automation | [ASSERT PASS] Checkout validation
