2026-03-15 21:41:33,495 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 21:41:33,580 | INFO | automation | Input text into ('id', 'password')
2026-03-15 21:41:33,600 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 21:41:33,719 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 21:41:33,809 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 21:41:33,898 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 21:41:34,017 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 21:41:34,080 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 21:41:34,146 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 21:41:34,164 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 21:41:34,249 | INFO | automation | [ASSERT PASS] Checkout validation
