2026-03-16 18:43:59,629 | INFO | automation | Input text into ('id', 'user-name')
2026-03-16 18:43:59,717 | INFO | automation | Input text into ('id', 'password')
2026-03-16 18:43:59,737 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-16 18:43:59,851 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-16 18:43:59,943 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-16 18:44:00,030 | INFO | automation | Click element: ('id', 'checkout')
2026-03-16 18:44:00,149 | INFO | automation | Input text into ('id', 'first-name')
2026-03-16 18:44:00,215 | INFO | automation | Input text into ('id', 'last-name')
2026-03-16 18:44:00,274 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-16 18:44:00,292 | INFO | automation | Click element: ('id', 'continue')
2026-03-16 18:44:00,379 | INFO | automation | [ASSERT PASS] Checkout validation
