2026-03-15 22:15:09,630 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 22:15:09,723 | INFO | automation | Input text into ('id', 'password')
2026-03-15 22:15:09,742 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 22:15:09,861 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 22:15:09,961 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 22:15:10,051 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 22:15:10,182 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 22:15:10,255 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 22:15:10,326 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 22:15:10,345 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 22:15:10,432 | INFO | automation | [ASSERT PASS] Checkout validation
